                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.875,                0.81554,                0.97222,                0.96239,                0.93169,                0.95928,                0.36946,                 2.0661,                0.81797,                0.99993,             0.00051156,             0.00051156,             0.00051156
                    112,                 1.8974,                0.81661,                0.97849,                0.97009,                0.94167,                0.96652,                0.37715,                 2.0692,                0.80237,                0.99606,             0.00050606,             0.00050606,             0.00050606
                    113,                  1.879,                0.81118,                0.97194,                0.96749,                0.93515,                0.96612,                0.37594,                 2.0703,                0.79857,                0.99521,             0.00050056,             0.00050056,             0.00050056
                    114,                 1.8799,                0.81439,                0.97282,                0.96737,                0.94136,                0.96699,                0.37596,                 2.0724,                0.80545,                0.99612,             0.00049506,             0.00049506,             0.00049506
                    115,                 1.8744,                 0.8029,                0.97053,                0.96093,                0.94783,                0.96366,                0.37451,                 2.0693,                 0.7967,                0.99673,             0.00048956,             0.00048956,             0.00048956
                    116,                 1.8656,                0.80199,                0.97232,                0.95905,                0.93437,                 0.9598,                0.37045,                  2.083,                0.80116,                0.99908,             0.00048406,             0.00048406,             0.00048406
                    117,                 1.8634,                0.81012,                0.96971,                0.94871,                0.94528,                0.96067,                0.36537,                 2.0829,                 0.8103,                0.99975,             0.00047856,             0.00047856,             0.00047856
                    118,                 1.8611,                0.79882,                0.96619,                0.97286,                 0.9438,                0.96533,                0.37004,                 2.0865,                0.79555,                 1.0014,             0.00047306,             0.00047306,             0.00047306
                    119,                 1.8711,                0.81512,                0.96756,                0.95961,                0.94269,                0.95758,                0.36318,                 2.0976,                0.80645,                 1.0035,             0.00046756,             0.00046756,             0.00046756
                    120,                 1.8593,                0.80206,                0.97025,                0.96047,                0.94302,                0.95917,                 0.3664,                 2.0801,                0.79745,                 1.0041,             0.00046206,             0.00046206,             0.00046206
                    121,                 1.8755,                0.79584,                 0.9744,                0.96779,                0.93611,                0.96339,                0.36482,                 2.0969,                0.79676,                 1.0058,             0.00045657,             0.00045657,             0.00045657
                    122,                  1.876,                0.80444,                0.96767,                0.96997,                0.93763,                 0.9647,                0.36832,                 2.1023,                0.81007,                 1.0033,             0.00045107,             0.00045107,             0.00045107
                    123,                 1.8595,                0.80083,                0.96808,                0.96595,                0.94214,                0.96081,                0.36365,                 2.1094,                0.80647,                 1.0079,             0.00044557,             0.00044557,             0.00044557
                    124,                 1.8506,                0.79977,                0.97646,                0.95723,                0.93803,                0.96056,                0.36038,                 2.1035,                0.81149,                 1.0077,             0.00044007,             0.00044007,             0.00044007
                    125,                 1.8591,                0.79533,                0.96761,                0.96669,                0.93558,                0.96473,                 0.3676,                  2.106,                0.80788,                 1.0045,             0.00043457,             0.00043457,             0.00043457
                    126,                 1.8496,                 0.8064,                 0.9671,                0.95011,                0.94078,                 0.9548,                 0.3631,                 2.1035,                0.81662,                 1.0069,             0.00042907,             0.00042907,             0.00042907
                    127,                 1.8556,                0.79905,                0.96382,                0.96389,                0.93629,                 0.9585,                0.36586,                 2.0945,                0.80115,                 1.0067,             0.00042357,             0.00042357,             0.00042357
                    128,                 1.8472,                0.79455,                0.97255,                 0.9716,                0.93853,                0.96424,                0.36867,                 2.0873,                0.80211,                  1.003,             0.00041807,             0.00041807,             0.00041807
                    129,                 1.8458,                0.79518,                0.96677,                0.97455,                0.94126,                0.96732,                 0.3646,                 2.1051,                0.79905,                 1.0048,             0.00041257,             0.00041257,             0.00041257
